tonality,vector_means
6.0,-290.20074462890625
7.0,-183.8304748535156
10.0,-440.6767883300781
5.0,-231.9998321533203
6.0,-362.5138244628906
9.0,-283.88812255859375
8.0,-124.31285858154295
9.0,-493.31396484375
10.0,-621.1270141601562
9.0,-31.13833236694336
7.0,-85.87307739257812
3.0,-240.6178436279297
8.0,-162.22076416015625
9.0,-111.26769256591795
9.0,-232.3554992675781
9.0,-309.7880554199219
7.0,-65.49980926513672
8.0,-174.56735229492188
9.0,-252.5513610839844
9.0,-98.00713348388672
8.0,-162.41665649414062
10.0,-154.7843475341797
7.0,-149.84103393554688
6.0,-133.26882934570312
9.0,-180.5418243408203
8.0,-225.5269012451172
6.0,-108.42153930664062
8.0,-332.99603271484375
8.0,-250.02175903320312
3.0,-220.27001953125
8.0,-120.13983154296876
4.0,-101.52120208740234
7.0,-137.54161071777344
8.0,-99.41205596923828
7.0,-356.003662109375
1.0,-361.7043762207031
9.0,-62.11949157714844
10.0,-112.36245727539062
7.0,-197.7040863037109
9.0,-105.75626373291016
8.0,-240.88705444335938
9.0,-31.16358184814453
8.0,-170.96484375
9.0,-130.81390380859378
9.0,-306.11895751953125
8.0,-57.34077453613281
8.0,-91.5818862915039
10.0,-351.162109375
9.0,-238.1591033935547
6.0,-281.09927368164057
9.0,-341.95306396484375
9.0,-96.57284545898438
7.0,-159.4253692626953
7.0,-106.88927459716795
9.0,-284.36761474609375
8.0,-131.10154724121094
10.0,-325.3353271484375
9.0,-167.3149871826172
9.0,-249.8811798095703
8.0,-67.80366516113281
10.0,-276.18832397460943
10.0,-228.3271484375
9.0,-272.57955932617193
6.0,-505.527587890625
9.0,-247.5176086425781
9.0,-247.11509704589844
9.0,-128.05668640136722
9.0,-141.18173217773438
9.0,-100.04061889648438
9.0,-267.30484008789057
6.0,-319.6907043457031
7.0,-60.04303741455078
9.0,-646.3790283203125
8.0,-639.7977294921875
10.0,-352.23626708984375
8.0,-1269.27783203125
8.0,-78.90670776367188
9.0,-129.93775939941406
9.0,-651.7942504882812
9.0,-363.59405517578125
8.0,-315.36529541015625
9.0,-334.4283447265625
7.0,-1487.2642822265625
